Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,TotalValue,Month,Year,CustomerType
489446,22356,"CHARLOTTE BAG , PINK/WHITE SPOTS",10,2009-12-01 10:06:00,0.85,13758.0,United Kingdom,8.5,12,2009,Registered
489446,21590,KINGS CHOICE CIGAR BOX MATCHES ,24,2009-12-01 10:06:00,1.25,13758.0,United Kingdom,30.0,12,2009,Registered
489522,21888,BINGO SET,3,2009-12-01 11:45:00,3.75,15998.0,United Kingdom,11.25,12,2009,Registered
489525,85227,SET/6 3D KIT CARDS FOR KIDS,1,2009-12-01 11:49:00,0.85,Guest,United Kingdom,0.85,12,2009,Guest
489526,22077,6 RIBBONS RUSTIC CHARM,12,2009-12-01 11:50:00,1.65,12533.0,Germany,19.799999999999997,12,2009,Registered
489529,21431,GREEN GINGHAM FLOWER JEWELLERY BOX,4,2009-12-01 11:51:00,1.65,17984.0,United Kingdom,6.6,12,2009,Registered
489536,22197,"POPCORN HOLDER , SMALL ",1,2009-12-01 12:13:00,0.85,16393.0,United Kingdom,0.85,12,2009,Registered
489536,22185,SLATE TILE NATURAL HANGING,2,2009-12-01 12:13:00,1.65,16393.0,United Kingdom,3.3,12,2009,Registered
489536,21931,JUMBO STORAGE BAG SUKI,5,2009-12-01 12:13:00,1.95,16393.0,United Kingdom,9.75,12,2009,Registered
489545,20756,GREEN FERN POCKET BOOK,3,2009-12-01 12:22:00,0.85,17804.0,United Kingdom,2.55,12,2009,Registered
489548,22302,COFFEE MUG PEARS  DESIGN,6,2009-12-01 12:32:00,2.55,Guest,United Kingdom,15.299999999999999,12,2009,Guest
489548,22195,LARGE HEART MEASURING SPOONS,5,2009-12-01 12:32:00,1.65,Guest,United Kingdom,8.25,12,2009,Guest
489548,21488,RED WHITE SCARF  HOT WATER BOTTLE,1,2009-12-01 12:32:00,3.95,Guest,United Kingdom,3.95,12,2009,Guest
489557,21731,RED TOADSTOOL LED NIGHT LIGHT,24,2009-12-01 12:52:00,1.65,12490.0,France,39.599999999999994,12,2009,Registered
489573,22186,RED STAR CARD HOLDER,11,2009-12-01 13:29:00,2.95,15051.0,United Kingdom,32.45,12,2009,Registered
489572,21491,SET OF THREE VINTAGE GIFT WRAPS,1,2009-12-01 13:29:00,1.95,17611.0,United Kingdom,1.95,12,2009,Registered
489572,21947,SET OF 6 HEART CHOPSTICKS,3,2009-12-01 13:29:00,1.25,17611.0,United Kingdom,3.75,12,2009,Registered
489594,22055,MINI CAKE STAND  HANGING STRAWBERY,1,2009-12-01 14:19:00,1.65,15005.0,United Kingdom,1.65,12,2009,Registered
489597,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,1,2009-12-01 14:28:00,5.17,Guest,United Kingdom,5.17,12,2009,Guest
489597,20675,BLUE SPOTTY BOWL,2,2009-12-01 14:28:00,2.57,Guest,United Kingdom,5.14,12,2009,Guest
