Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
566076,22027,TEA PARTY BIRTHDAY CARD,12,2011-09-09 09:13:00,0.42,12449.0,Belgium
566094,21790,VINTAGE SNAP CARDS,24,2011-09-09 10:42:00,0.85,17965.0,United Kingdom
566164,22732,3D VINTAGE CHRISTMAS STICKERS ,4,2011-09-09 11:56:00,1.63,,United Kingdom
566179,23236,STORAGE TIN VINTAGE DOILY ,2,2011-09-09 12:42:00,2.89,,Israel
566193,23424,GINGHAM RECIPE BOOK BOX,4,2011-09-09 13:37:00,4.95,14961.0,United Kingdom
566196,82484,WOOD BLACK BOARD ANT WHITE FINISH,4,2011-09-09 13:47:00,7.95,14180.0,United Kingdom
566200,84992,72 SWEETHEART FAIRY CAKE CASES,1,2011-09-09 14:14:00,0.55,16910.0,United Kingdom
566213,23021,GLASS BONNE JAM JAR,4,2011-09-09 15:09:00,4.15,14895.0,United Kingdom
566217,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,1,2011-09-09 15:17:00,1.63,14096.0,United Kingdom
566221,22452,MEASURING TAPE BABUSHKA PINK,1,2011-09-09 16:13:00,1.63,,United Kingdom
566233,23145,ZINC T-LIGHT HOLDER STAR LARGE,12,2011-09-11 11:04:00,0.95,12635.0,Germany
566249,22144,CHRISTMAS CRAFT LITTLE FRIENDS,2,2011-09-11 12:09:00,2.1,13527.0,United Kingdom
566256,20682,RED RETROSPOT CHILDRENS UMBRELLA,6,2011-09-11 12:27:00,3.25,12680.0,France
566269,23391, I LOVE LONDON MINI BACKPACK,2,2011-09-11 13:39:00,4.15,17864.0,United Kingdom
566269,21829,DINOSAUR KEYRINGS ASSORTED,36,2011-09-11 13:39:00,0.21,17864.0,United Kingdom
566271,20728,LUNCH BAG CARS BLUE,10,2011-09-11 13:44:00,1.65,14250.0,United Kingdom
566275,23403,LETTER HOLDER HOME SWEET HOME,4,2011-09-11 13:58:00,3.75,16549.0,United Kingdom
566275,22329,ROUND CONTAINER SET OF 5 RETROSPOT,3,2011-09-11 13:58:00,1.65,16549.0,United Kingdom
566275,23242,TREASURE TIN BUFFALO BILL ,3,2011-09-11 13:58:00,2.08,16549.0,United Kingdom
566276,21704,BAG 250g SWIRLY MARBLES,72,2011-09-11 14:00:00,0.72,13450.0,United Kingdom
