Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
489446,22356,"CHARLOTTE BAG , PINK/WHITE SPOTS",10,2009-12-01 10:06:00,0.85,13758.0,United Kingdom
489446,21590,KINGS CHOICE CIGAR BOX MATCHES ,24,2009-12-01 10:06:00,1.25,13758.0,United Kingdom
489522,21888,BINGO SET,3,2009-12-01 11:45:00,3.75,15998.0,United Kingdom
489525,85227,SET/6 3D KIT CARDS FOR KIDS,1,2009-12-01 11:49:00,0.85,,United Kingdom
489526,22077,6 RIBBONS RUSTIC CHARM,12,2009-12-01 11:50:00,1.65,12533.0,Germany
489529,21431,GREEN GINGHAM FLOWER JEWELLERY BOX,4,2009-12-01 11:51:00,1.65,17984.0,United Kingdom
489536,22197,"POPCORN HOLDER , SMALL ",1,2009-12-01 12:13:00,0.85,16393.0,United Kingdom
489536,22185,SLATE TILE NATURAL HANGING,2,2009-12-01 12:13:00,1.65,16393.0,United Kingdom
489536,21931,JUMBO STORAGE BAG SUKI,5,2009-12-01 12:13:00,1.95,16393.0,United Kingdom
489545,20756,GREEN FERN POCKET BOOK,3,2009-12-01 12:22:00,0.85,17804.0,United Kingdom
489548,22302,COFFEE MUG PEARS  DESIGN,6,2009-12-01 12:32:00,2.55,,United Kingdom
489548,22195,LARGE HEART MEASURING SPOONS,5,2009-12-01 12:32:00,1.65,,United Kingdom
489548,21488,RED WHITE SCARF  HOT WATER BOTTLE,1,2009-12-01 12:32:00,3.95,,United Kingdom
C489549,35400,WOODEN BOX ADVENT CALENDAR ,-2,2009-12-01 12:33:00,7.95,13768.0,United Kingdom
489557,21731,RED TOADSTOOL LED NIGHT LIGHT,24,2009-12-01 12:52:00,1.65,12490.0,France
489573,22186,RED STAR CARD HOLDER,11,2009-12-01 13:29:00,2.95,15051.0,United Kingdom
489572,21491,SET OF THREE VINTAGE GIFT WRAPS,1,2009-12-01 13:29:00,1.95,17611.0,United Kingdom
489572,21947,SET OF 6 HEART CHOPSTICKS,3,2009-12-01 13:29:00,1.25,17611.0,United Kingdom
489594,22055,MINI CAKE STAND  HANGING STRAWBERY,1,2009-12-01 14:19:00,1.65,15005.0,United Kingdom
489597,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,1,2009-12-01 14:28:00,5.17,,United Kingdom
489597,20675,BLUE SPOTTY BOWL,2,2009-12-01 14:28:00,2.57,,United Kingdom
489597,21808,"CHRISTMAS GARLAND STARS,TREES",1,2009-12-01 14:28:00,7.78,,United Kingdom
489597,21625,VINTAGE UNION JACK APRON,1,2009-12-01 14:28:00,14.74,,United Kingdom
489597,21529,RETRO SPOT CERAMIC TOASTRACK,3,2009-12-01 14:28:00,6.04,,United Kingdom
489597,21807,WHITE CHRISTMAS STAR DECORATION,4,2009-12-01 14:28:00,0.87,,United Kingdom
