Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,TotalValue,Month,Year,CustomerType
C540006,21306,SET/4 DAISY MIRROR MAGNETS,-1,2011-01-04 10:48:00,2.1,14606.0,United Kingdom,-2.1,1,2011,Registered
540013,84991,60 TEATIME FAIRY CAKE CASES,4,2011-01-04 11:30:00,0.55,16255.0,United Kingdom,2.2,1,2011,Registered
540014,22385,JUMBO BAG SPACEBOY DESIGN,2,2011-01-04 11:34:00,1.95,14606.0,United Kingdom,3.9,1,2011,Registered
540015,79321,CHILLI LIGHTS,4,2011-01-04 11:40:00,4.95,13319.0,United Kingdom,19.8,1,2011,Registered
540017,22511,RETROSPOT BABUSHKA DOORSTOP,8,2011-01-04 11:48:00,1.25,13963.0,United Kingdom,10.0,1,2011,Registered
540023,21244,BLUE POLKADOT PLATE ,12,2011-01-04 12:58:00,1.69,15039.0,United Kingdom,20.28,1,2011,Registered
540026,22189,CREAM HEART CARD HOLDER,1,2011-01-04 13:25:00,8.47,,United Kingdom,8.47,1,2011,Registered
540026,20766,GARDEN PATH SKETCHBOOK,1,2011-01-04 13:25:00,7.62,,United Kingdom,7.62,1,2011,Registered
540026,22453,MEASURING TAPE BABUSHKA BLUE,6,2011-01-04 13:25:00,1.66,,United Kingdom,9.959999999999999,1,2011,Registered
540026,22694,WICKER STAR ,1,2011-01-04 13:25:00,4.21,,United Kingdom,4.21,1,2011,Registered
540026,84711B,PINK OVAL SHAPE TRINKET BOX,1,2011-01-04 13:25:00,5.91,,United Kingdom,5.91,1,2011,Registered
540026,16048,TEATIME ROUND PENCIL SHARPENER ,1,2011-01-04 13:25:00,0.85,,United Kingdom,0.85,1,2011,Registered
540026,21313,GLASS HEART T-LIGHT HOLDER ,1,2011-01-04 13:25:00,1.66,,United Kingdom,1.66,1,2011,Registered
540073,22624,IVORY KITCHEN SCALES,1,2011-01-04 14:47:00,8.5,16814.0,United Kingdom,8.5,1,2011,Registered
540098,22470,HEART OF WICKER LARGE,2,2011-01-04 15:50:00,2.95,16241.0,United Kingdom,5.9,1,2011,Registered
540098,21069,VINTAGE BILLBOARD TEA MUG,3,2011-01-04 15:50:00,1.25,16241.0,United Kingdom,3.75,1,2011,Registered
540099,22193,RED DINER WALL CLOCK,1,2011-01-04 16:41:00,8.5,15808.0,United Kingdom,8.5,1,2011,Registered
540126,21110,LARGE CAKE TOWEL PINK SPOTS,48,2011-01-05 10:45:00,1.95,13798.0,United Kingdom,93.6,1,2011,Registered
540154,22322,BIRD DECORATION GREEN POLKADOT,6,2011-01-05 11:30:00,0.81,,United Kingdom,4.86,1,2011,Registered
540154,22247,BUNNY DECORATION MAGIC GARDEN,2,2011-01-05 11:30:00,0.81,,United Kingdom,1.62,1,2011,Registered
540154,20801,LARGE PINK GLASS SUNDAE DISH,3,2011-01-05 11:30:00,2.51,,United Kingdom,7.529999999999999,1,2011,Registered
540163,22460,EMBOSSED GLASS TEALIGHT HOLDER,24,2011-01-05 11:52:00,1.25,13089.0,United Kingdom,30.0,1,2011,Registered
540168,21429,RED GINGHAM ROSE JEWELLERY BOX,4,2011-01-05 12:15:00,1.65,13715.0,United Kingdom,6.6,1,2011,Registered
540178,22314,OFFICE MUG WARMER CHOC+BLUE,6,2011-01-05 12:42:00,2.95,12681.0,France,17.700000000000003,1,2011,Registered
540238,90186B,CRYSTAL HOOP EARRING FLORAL LEAF,1,2011-01-05 14:44:00,2.96,,United Kingdom,2.96,1,2011,Registered
540245,22755,SMALL PURPLE BABUSHKA NOTEBOOK ,12,2011-01-05 15:42:00,0.85,13082.0,United Kingdom,10.2,1,2011,Registered
540247,72127,COLUMBIAN CANDLE ROUND ,1,2011-01-05 15:56:00,1.25,15464.0,United Kingdom,1.25,1,2011,Registered
540255,21467,CHERRY CROCHET FOOD COVER,1,2011-01-05 16:50:00,7.62,,United Kingdom,7.62,1,2011,Registered
540255,84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,1,2011-01-05 16:50:00,3.36,,United Kingdom,3.36,1,2011,Registered
540255,22219,LOVEBIRD HANGING DECORATION WHITE ,1,2011-01-05 16:50:00,1.66,,United Kingdom,1.66,1,2011,Registered
540255,21992,VINTAGE PAISLEY STATIONERY SET,2,2011-01-05 16:50:00,2.51,,United Kingdom,5.02,1,2011,Registered
540257,22189,CREAM HEART CARD HOLDER,4,2011-01-05 17:33:00,3.95,12748.0,United Kingdom,15.8,1,2011,Registered
540269,22728,ALARM CLOCK BAKELIKE PINK,4,2011-01-06 11:39:00,3.75,14135.0,United Kingdom,15.0,1,2011,Registered
540288,21468,BUTTERFLY CROCHET FOOD COVER,1,2011-01-06 12:45:00,3.75,17634.0,United Kingdom,3.75,1,2011,Registered
540288,22467,GUMBALL COAT RACK,24,2011-01-06 12:45:00,2.55,17634.0,United Kingdom,61.199999999999996,1,2011,Registered
540345,84988,SET OF 72 PINK HEART PAPER DOILIES,12,2011-01-06 13:19:00,1.45,14299.0,United Kingdom,17.4,1,2011,Registered
540349,84992,72 SWEETHEART FAIRY CAKE CASES,24,2011-01-06 14:07:00,0.55,15379.0,United Kingdom,13.200000000000001,1,2011,Registered
540350,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,1,2011-01-06 14:14:00,4.95,18283.0,United Kingdom,4.95,1,2011,Registered
540351,POST,POSTAGE,2,2011-01-06 14:26:00,18.0,12735.0,France,36.0,1,2011,Registered
540352,84870B,BLUE GEISHA GIRL ,1,2011-01-06 14:27:00,2.51,,United Kingdom,2.51,1,2011,Registered
540352,22023,EMPIRE BIRTHDAY CARD,1,2011-01-06 14:27:00,0.85,,United Kingdom,0.85,1,2011,Registered
540352,22560,TRADITIONAL MODELLING CLAY,1,2011-01-06 14:27:00,2.51,,United Kingdom,2.51,1,2011,Registered
540352,90202A,PURPLE ENAMEL FLOWER HAIR TIE,1,2011-01-06 14:27:00,2.96,,United Kingdom,2.96,1,2011,Registered
540356,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,3,2011-01-06 15:12:00,3.36,,United Kingdom,10.08,1,2011,Registered
540358,84406B,CREAM CUPID HEARTS COAT HANGER,32,2011-01-06 15:25:00,2.75,13599.0,United Kingdom,88.0,1,2011,Registered
540363,40016,CHINESE DRAGON PAPER LANTERNS,600,2011-01-06 15:54:00,0.25,12971.0,United Kingdom,150.0,1,2011,Registered
540364,79321,CHILLI LIGHTS,4,2011-01-06 16:03:00,4.95,14505.0,United Kingdom,19.8,1,2011,Registered
540372,20726,LUNCH BAG WOODLAND,10,2011-01-06 16:41:00,1.65,13081.0,United Kingdom,16.5,1,2011,Registered
540372,21242,RED RETROSPOT PLATE ,8,2011-01-06 16:41:00,1.69,13081.0,United Kingdom,13.52,1,2011,Registered
C540391,22274,FELTCRAFT DOLL EMILY,-1,2011-01-06 18:02:00,2.95,13047.0,United Kingdom,-2.95,1,2011,Registered
540408,85123A,WHITE HANGING HEART T-LIGHT HOLDER,250,2011-01-07 09:55:00,2.55,16013.0,United Kingdom,637.5,1,2011,Registered
540413,22969,HOMEMADE JAM SCENTED CANDLES,12,2011-01-07 10:29:00,1.45,15194.0,United Kingdom,17.4,1,2011,Registered
540418,22466,FAIRY TALE COTTAGE NIGHTLIGHT,1,2011-01-07 11:04:00,4.21,,United Kingdom,4.21,1,2011,Registered
540418,22250,DECORATION  BUTTERFLY  MAGIC GARDEN,9,2011-01-07 11:04:00,0.81,,United Kingdom,7.290000000000001,1,2011,Registered
540418,82613B,"METAL SIGN,CUPCAKE SINGLE HOOK",3,2011-01-07 11:04:00,0.85,,United Kingdom,2.55,1,2011,Registered
540418,22322,BIRD DECORATION GREEN POLKADOT,9,2011-01-07 11:04:00,0.81,,United Kingdom,7.290000000000001,1,2011,Registered
540418,21670,BLUE SPOT CERAMIC DRAWER KNOB,4,2011-01-07 11:04:00,2.51,,United Kingdom,10.04,1,2011,Registered
540456,21524,DOORMAT SPOTTY HOME SWEET HOME,2,2011-01-07 12:14:00,7.95,13534.0,United Kingdom,15.9,1,2011,Registered
